chapter_code,chapter,subchapter,assay_refname,text_pattern_match,assay_source,notes,assay_class,mesh_indication,ind_phenotype_cmpd,ind_phenotype_cmpd_chemblid,pos_control_cmpd,pos_control_cmpd_chemblid
I,Antiarthrotic and Immunomodulatory Activity,Anti-Arthrotic Activity ,Canine Anterior Cruciate Ligament (ACL) Transection Model,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Anti-Arthrotic Activity ,Chymopapain-Induced Cartilage Degeneration in the Rabbit ,,Hock_2016,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Anti-Arthrotic Activity ,Spontaneous osteoarthritis OA Model in STR/1N Mice,spontaneous\Wosteoarthritis,Hock_2016,,in-vivo phenotypic,OSTEOARTHRITIS,,,,
I,Antiarthrotic and Immunomodulatory Activity,Anti-Arthrotic Activity ,Transgenic Mice as Models of Osteoarthritis,,Hock_2016,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Anti-Arthrotic Activity,General osteoarthritis Models,osteoarthr,phenotype,Note the difference between rheumatoid arthritis (an autoimmune disease) and osteoarthritis (degenerative wear of joints),in-vivo phenotypic,OSTEOARTHRITIS,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Spontaneous Autoimmune Diseases In Animals,BDF1|\WNOD\W,Vogel_assay_2008,,in-vivo phenotypic,AUTOIMMUNE DISEASES|IMMUNE SYSTEM DISEASES,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Acute Systemic Anaphylaxis in Rats,systemic.*Anaphylaxis|Anaphylaxis.*systemic,Vogel_assay_2008,,in-vivo phenotypic,HYPERSENSITIVITY|IMMUNE SYSTEM DISEASES,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Passive Cutaneous Anaphylaxis ,Passive.*Anaphylaxis,Vogel_assay_2008,,in-vivo phenotypic,HYPERSENSITIVITY|IMMUNE SYSTEM DISEASES,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Arthus Type Immediate Hypersensitivity,Active\W?Arthus,Vogel_assay_2008,,in-vivo phenotypic,INFLAMMATION|EDEMA|HEMORRHAGE,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Delayed Type Hypersensitivity,Delayed\W?Type\W?Hypersensit,Vogel_assay_2008,,in-vivo phenotypic,HYPERSENSITIVITY|IMMUNE SYSTEM DISEASES,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Reversed Passive Arthus Reaction ,Reversed?\W?Passive\W?Arthus,Hock_2016,,in-vivo phenotypic,INFLAMMATION|EDEMA|HEMORRHAGE,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Adjuvant Arthritis in Rats,adjuvant.*arthrit|arthrit.*adjuvant,Hock_2016,,in-vivo phenotypic,"INFLAMMATION|ARTHRITIS, RHEUMATOID",,,INDOMETHACIN|PHENYLBUTAZONE|CYCLOPHOSPHAMIDE,CHEMBL6|CHEMBL101|CHEMBL88
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Collagen Type II Induced Arthritis in Rats,,Hock_2016,,in-vivo phenotypic,"INFLAMMATION|ARTHRITIS, RHEUMATOID|IMMUNE SYSTEM DISEASES",complete Freunds adjuvant,None,INDOMETHACIN|PHENYLBUTAZONE|ASPIRIN|PENICILLAMINE,CHEMBL6|CHEMBL101|CHEMBL25|CHEMBL1430
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Proteoglycan-Induced Progressive Polyarthritis in Mice,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Pristane-Induced Arthritis in Mice,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Experimental Autoimmune Thyroiditis,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Coxsackie virus B3 Induced Myocarditis,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Porcine Cardiac Myosin-Induced Autoimmune Myocarditis in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Experimental Allergic Encephalomyelitis,Encephalomyelitis|\WEAE\W,Hock_2016,EAE is Experimental Autoimmune encephalomyelitis/encephalitis,in-vivo phenotypic,"INFLAMMATION|IMMUNE SYSTEM DISEASES|AUTOIMMUNE DISEASES|MULTIPLE SCLEROSIS|ENCEPHALOMYELITIS, AUTOIMMUNE, EXPERIMENTAL",,,METHOTREXATE|HYDROCORTISONE|CYCLOPHOSPHAMIDE,CHEMBL34259|CHEMBL389621|CHEMBL88
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Acute Graft Versus Host Disease GVHD in Rats,Graft.*Host|GVH|Host.*Graft,Vogel_assay_2008,,in-vivo phenotypic,GRAFT VS HOST DISEASE|IMMUNE SYSTEM DISEASES|ANEMIA,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Influence on Systemic Lupus Erythematosus SLE Like Disorder in MRL/lpr Mice,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Prevention of Experimentally Induced Myasthenia Gravis in Rats,Myasthenia\W?Gravis,Vogel_assay_2008,,in-vivo phenotypic,MYASTHENIA GRAVIS,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,Glomerulonephritis Induced by Antibasement Membrane Antibody in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,General Auto-Immune Activity,Auto\W?immune,phenotype,,in-vivo phenotypic,AUTOIMMUNE DISEASES|IMMUNE SYSTEM DISEASES,,,,
I,Antiarthrotic and Immunomodulatory Activity,Methods for Testing Immunological Factors,General Immunosuppressive Activity,Immunosuppress,phenotype,,in-vivo phenotypic,IMMUNE SYSTEM DISEASES,,,,
J,Activity on the Gastrointestinal Tract,Test on Salivary Glands,Measurement of Salivation,Saliva|Siala,Hock_2016,,in-vivo phenotypic,SALIVATION,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Acid Secretion in Perfused Rat Stomach (Gosh and Schild Rat),Acid\W?Secretion|Gastric\W?Acid,Vogel_assay_2008,,in-vivo phenotypic,PEPTIC ULCER|DIGESTIVE SYSTEM DISEASES,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Isolated Rat Stomach,Isolated.*Stomach,Vogel_assay_2008,,ex-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Chronic Gastric Fistula in Rats,Gastric\W?Fistula,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Gastrin Activity,Gastrin,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Isolated Gastric Mucosal Preparation,Gastric.*Mucos,Vogel_assay_2008,,ex-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Measurement of Intragastric Pressure in Rats,Intragastric\W?Pressure,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,Measurement of Gastric Absorption of Drugs in Rats,,Vogel_assay_2008,,in-vivo ADME,,,,,
J,Activity on the Gastrointestinal Tract,Gastric Function,General Gastric Secretion,Gastr.*Secret|Secret.*Gastr,phenotype,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,Gastric Mucosal Blood Flow,Mucos.*Blood,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,Pylorus Ligation in Rats SHAY Rat,Pylorus\W?Ligat|Shay,Vogel_assay_2008,,in-vivo phenotypic,PEPTIC ULCER|DIGESTIVE SYSTEM DISEASES,,,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,Indomethacin Induced Ulcers in Rats,Indomethacin.*Gastr|Gastr.*Indomethacin|Aspirin.*Lesion|Ulcer.*Aspirin|Aspirin.*Ulcer,Hock_2016,,in-vivo phenotypic,PEPTIC ULCER|DIGESTIVE SYSTEM DISEASES,INDOMETHACIN|ASPIRIN,CHEMBL6|CHEMBL25,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,Ethanol Induced Mucosal Damage in Rats Cytoprotective Activity,Ethanol.*Mucos|Mucos.*Ethanol|EtOH.*Lesion|Lesion.*EtOH|Ethanol.*gastric\W?lesions|gastric\W?lesions.*Ethanol,Vogel_assay_2008,,in-vivo phenotypic,PEPTIC ULCER|DIGESTIVE SYSTEM DISEASES,ALCOHOL,CHEMBL545,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,Subacute Gastric Ulcer in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,Gastric Ischemia Reperfusion Injury in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,General Models of Anti-Ulcer Activity,Ulcer,phenotype,,in-vivo phenotypic,PEPTIC ULCER,,,,
J,Activity on the Gastrointestinal Tract,Anticholinergic Activity,General Anticholinergic Activity,cholinerg,phenotype,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Laxative Activity in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Enteropooling Test,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Castor Oil Induced Diarrhea,Cast[oe]r.*Diarrh,Vogel_assay_2008,,in-vivo phenotypic,DIARRHEA,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Anti-diarrheal Effect in Cecectomized Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Evaluation of Anti-diarrheal Effect in Cold Restrained Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,General Diarrhea Models,Diarrh,phenotype,,in-vivo phenotypic,DIARRHEA,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,In Vivo Evaluation of Spasmolytic Activity in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Colon Motility in Anesthetized Rats,Carbachol.*Gastr|Carbachol.*Colon,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Continuous Recording of Electrical and Mechanical Activity in the Gut of the Conscious Rat,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Propulsive Gut Motility in Mice,Charcoal,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Everted Sac Absorption Technique,Everted|Intestin.*Transport|Transport.*Intestin,Vogel_assay_2008,,ex-vivo ADME,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Stomach Emptying and Intestinal Absorption in Rats,Emptying,Vogel_assay_2008,,in-vivo ADME,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Intestinal Drug Absorption,Intest.*Absorption,Vogel_assay_2008,,in-vivo ADME,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Cysteamine Induced Duodenal Ulcers in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Experimental Ileitis Inflammatory Gut Disease,,Vogel_assay_2008,,ex-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Intestinal Function,Experimental Colitis Inflammatory Gut Disease,Colitis,Vogel_assay_2008,,in-vivo phenotypic,"COLITIS, ULCERATIVE|INFLAMMATORY BOWEL DISEASES|CROHN DISEASE|DIGESTIVE SYSTEM DISEASES",,,,
J,Activity on the Gastrointestinal Tract,Gall Bladder Function,Cholagogic Activity Bile Secretion in Mice,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
N,Endocrinology,Hypothalamic Hormones,Testosterone Suppression in Rats by LH-RH (Luteinizing Hormone Releasing Hormone) Antagonists,LH\W?RH.*testosterone,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gall Bladder Function,Choleretic Activity Bile Secretion in Rats ,Bile.*Cannul|Cannul.*Bile,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Gall Bladder Function,Chronic Bile Fistula in Rats ,Bile\W?Fistula,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Acne Models,Acne Activity on Sebaceous Glands of the Fuzzy Rat,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Acne Models,Acne Activity on the Skin of the Rhino Mouse,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Biomechanics of skin,Stress-Strain Curves of Skin in Vivo,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Biomechanics of skin,Repeated Strain on Skin in Vivo,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Biomechanics of skin,In Vivo Recovery of Skin After Repeated Strain,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Biomechanics of skin,Healing of Skin Wounds,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Protection against UV light,Protection of Skin Against UV Light,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Transepidermal Water Loss (TEWL),Transepidermal Water Loss (TEWL),,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Influence on Hair Growth,Influence on Hair Growth,Hair.*Growth,Vogel_assay_2008,,in-vivo phenotypic,HYPOTRICHOSIS|ALOPECIA,,,,
P,Pharmacological Models in Dermatology,Cutaneous Microcirculation,Laser Doppler Velocimetry for Cutaneous Microcirculation,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
P,Pharmacological Models in Dermatology,Cutaneous Microcirculation,Measurement of Skin Microcirculation by Reflectance Spectroscopy,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
J,Activity on the Gastrointestinal Tract,Pancreatic Function,Somatostatin Activity,Somato,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Angiotensin II Antagonism in Vivo,Angiotensin\W?II.*press|press.*Angiotensin\W?II|\WA\W?II\W.*press|press.*\WA\W?II\W|press.*\WAng\WII\W|\WAng\WII\W.*press,Hock_2016,,in-vivo phenotypic,HYPERTENSION|CARDIOVASCULAR DISEASES|VASCULAR DISEASES,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Endothelin Receptor Antagonism in Vivo,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Hemodynamic Screening,hemodynamic,Hock_2016,"includes rat, concious dog, anesthetised dog, monkey, guinea pigs, ferrets etc",in-vivo phenotypic,HEMODYNAMICS,,,CLONIDINE|DIHYDRALAZINE|PHENTOLAMINE|PRAZOSIN|PROPRANOLOL|URAPIDIL|VERAPAMIL,CHEMBL134|CHEMBL35505|CHEMBL597|CHEMBL2|CHEMBL27|CHEMBL279229|CHEMBL6966
A,Cardiovascular Activity,Cardiovascular analysis,Blood Pressure in Pithed Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Antihypertensive Vasodilator Activity in Ganglion Blocked Angiotensin II Supported Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Blood Pressure in Conscious Hypertensive Rats Tail Cuff Method,Tail\W?Cuff,Hock_2016,,in-vivo phenotypic,HYPERTENSION|CARDIOVASCULAR DISEASES|VASCULAR DISEASES,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Direct Measurement of Blood Pressure in Conscious Rats with Indwelling Catheter,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Cardiovascular Analysis in Anesthetized Mice,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Measurement of Cardiac Output and Regional Blood Flow with Microspheres ,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Telemetric Monitoring of Cardiovascular Parameters in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Cardiovascular Effects After Intracerebroventricular icv Administration,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Influence on Orthostatic Hypotension,(?<!ocular )hypotens,Hock_2016,"The negative lookbehind regex excludes ""ocular hypotension""",in-vivo phenotypic,HYPOTENSION,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Bezold Jarisch Reflex,Bezold\W?Jarisc?h,Hock_2016,,in-vivo phenotypic,SHOCK,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Endotoxin Induced Shock,endotoxin.*mortal|endotoxin\Wshock\Wmodel,Hock_2016,,in-vivo phenotypic,SHOCK|PULMONARY EMBOLISM|BRONCHIAL SPASM|RENAL INSUFFICIENCY|SEPSIS,,,ROSIGLITAZONE,CHEMBL121
A,Cardiovascular Activity,Cardiovascular analysis,Hemorrhagic Shock,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Tourniquet Shock,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Heat Stroke,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,alpha and beta Adrenoreceptors in the Mouse Iris,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Activity at beta1 and beta2 Adrenoreceptors in Rat,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Angiotensin II Antagonism,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardiovascular analysis,Angiotensin Converting Enzyme ACE Inhibition Measured in Vivo in Rat,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,Renal Hypertension,Renal\W?Hypertens,Hock_2016,"Acute and chronic renal hypertension grouped together, in rat or dog",in-vivo phenotypic,"HYPERTENSION, RENAL|KIDNEY DISEASES",,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,DOCA salt Induced Hypertension,\WDOCA\W|deoxy\W?corticosterone\W?acetate,Hock_2016,Can be rat or mouse,in-vivo phenotypic,HYPERTENSION|CARDIOVASCULAR DISEASES|VASCULAR DISEASES,,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,Fructose Induced Hypertension in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,"Genetic Hypertension in Rats: Genetically hypertensive rat (GH), Spontaneously hypertensive rat (Akamoto-Aoki, SHR) or Wistar-Kyoto Rat (WKY), Salt-hypertension-sensitivity and Salt-hypertension-resistant (RD), Dahl Salt-Sensitive rat (S), Sabra strain, Milan hypertensive strain (MHS), Lyon, Stroke-prone strain (SHR=SHRSP), transgenic rat with hypertension,  TGR or TGR(mREN2)27, double transgenic rat (dTGR), genetically hypertensive mouse",Spontaneous.*Hypertensi|\WSHR\W|Wistar\W?Kyoto|\WWKY\W|Salt.*Hypertens|Salt.*Hypertens|Dahl|Sabra|Transgenic.*Hypertens|Hypertens.*Transgenic|Double\W?Transgenic|dTGR,Vogel_assay_2008,,in-vivo phenotypic,HYPERTENSION|CARDIOVASCULAR DISEASES|VASCULAR DISEASES,,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,Hypertension Induced by Chronic NO Synthase Inhibition,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,Pulmonary Hypertension Induced by Monocrotaline,Mono\W?crotaline,Hock_2016,,in-vivo phenotypic,"HYPERTENSION, PULMONARY|LUNG DISEASES",,,,
A,Cardiovascular Activity,Methods to Induce Experimental Hypertension,Portal Hypertension in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Coronary (Cardiac) Drugs,Isoproterenol Induced Myocardial Necrosis in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Coronary (Cardiac) Drugs,Myocardial Infarction After Coronary Ligation,Myocardial.*Inf[ar][ra]ct,Hock_2016,,in-vivo phenotypic,MYOCARDIAL INFARCTION|HEART DISEASES|CARDIOVASCULAR DISEASES,,,,
A,Cardiovascular Activity,Coronary (Cardiac) Drugs,MRI Studies of Cardiac Function,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Coronary (Cardiac) Drugs,MRI Studies After Heart and Lung Transplantation,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Calcium Uptake Inhibiting Activity,Evaluation of Calcium Blockers in the Pithed Rat,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Anti-Arrhythmic Activity,Electrocardiography in Animals,qt|lead\W?II,Hock_2016,,in-vivo phenotypic,LONG QT SYNDROME,,,,
A,Cardiovascular Activity,Anti-Arrhythmic Activity,Aconitine Antagonism in Rats,\WAconitine,Hock_2016,,in-vivo phenotypic,"ARRHYTHMIAS, CARDIAC|HEART DISEASES|CARDIOVASCULAR DISEASES",,,,
A,Cardiovascular Activity,Anti-Arrhythmic Activity,"Coronary Artery Ligation, Reperfusion Arrhythmia and Infarct Size in Rats",Coronary\W?Artery\W?Ligation,Hock_2016,,in-vivo phenotypic,"ARRHYTHMIAS, CARDIAC",,,,
A,Cardiovascular Activity,Anti-Arrhythmic Activity,General Anti-Arrhythmic Activity,arrhythm|arrhym|fibrill|tachycard|bradycard,phenotype,,in-vivo phenotypic,CARDIOVASCULAR DISEASES|HEART DISEASES,,,,
A,Cardiovascular Activity,Methods to Induce Cardiac Hypertrophy and Insufficiency,Aortic Banding,Aortic\W?Band,Hock_2016,,in-vivo phenotypic,"CARDIOMYOPATHY, HYPERTROPHIC|HYPERTENSION|HEART DISEASES|CARDIOVASCULAR DISEASES",,,,
A,Cardiovascular Activity,Methods to Induce Cardiac Hypertrophy and Insufficiency,Chronic Heart Failure,,Vogel_assay_2008,Rat and Mouse assays considered together. ,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Methods to Induce Cardiac Hypertrophy and Insufficiency,Cardiac Hypertrophy,Cardiac.*Hypertroph|Hypertroph.*Cardiac,Hock_2016,Thickening of the heart muscle,in-vivo phenotypic,"CARDIOMYOPATHY, HYPERTROPHIC|HEART DISEASES|CARDIOVASCULAR DISEASES",,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Forebrain Ischemia in Rats,,Vogel_assay_2008,Ischemia can be brain or heart - hence need NOT keyword search in future. Or better match by similarity matching?,in-vivo phenotypic,,,,,
